//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;Период ШИМ (запись)@8;мс;;%QW18;MU210_403
;Период ШИМ (запись)@9;мс;;%QW19;MU210_403
;Период ШИМ (запись)@10;мс;;%QW20;MU210_403
;Период ШИМ (запись)@11;мс;;%QW21;MU210_403
;Период ШИМ (запись)@12;мс;;%QW22;MU210_403
;Период ШИМ (запись)@13;мс;;%QW23;MU210_403
;Период ШИМ (запись)@14;мс;;%QW24;MU210_403
;Период ШИМ (запись)@15;мс;;%QW25;MU210_403
;Период ШИМ (запись)@16;мс;;%QW26;MU210_403
;Период ШИМ (запись)@17;мс;;%QW27;MU210_403
;Период ШИМ (запись)@18;мс;;%QW28;MU210_403
;Период ШИМ (запись)@19;мс;;%QW29;MU210_403
;Период ШИМ (запись)@20;мс;;%QW30;MU210_403
;Период ШИМ (запись)@21;мс;;%QW31;MU210_403
;Период ШИМ (запись)@22;мс;;%QW32;MU210_403
;Период ШИМ (запись)@23;мс;;%QW33;MU210_403
;Коэффициент заполнения ШИМ (чтение);;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW164;MU210_403
;Коэффициент заполнения ШИМ (чтение)@1;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW165;MU210_403
;Коэффициент заполнения ШИМ (чтение)@2;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW166;MU210_403
;Коэффициент заполнения ШИМ (чтение)@3;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW167;MU210_403
;Коэффициент заполнения ШИМ (чтение)@4;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW168;MU210_403
;Коэффициент заполнения ШИМ (чтение)@5;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW169;MU210_403
;Коэффициент заполнения ШИМ (чтение)@6;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW170;MU210_403
;Коэффициент заполнения ШИМ (чтение)@7;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW171;MU210_403
;Коэффициент заполнения ШИМ (чтение)@8;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW172;MU210_403
;Коэффициент заполнения ШИМ (чтение)@9;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW173;MU210_403
;Коэффициент заполнения ШИМ (чтение)@10;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW174;MU210_403
;Коэффициент заполнения ШИМ (чтение)@11;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW175;MU210_403
;Коэффициент заполнения ШИМ (чтение)@12;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW176;MU210_403
;Коэффициент заполнения ШИМ (чтение)@13;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW177;MU210_403
;Коэффициент заполнения ШИМ (чтение)@14;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW178;MU210_403
;Коэффициент заполнения ШИМ (чтение)@15;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW179;MU210_403
;Коэффициент заполнения ШИМ (чтение)@16;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW180;MU210_403
;Коэффициент заполнения ШИМ (чтение)@17;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW181;MU210_403
;Коэффициент заполнения ШИМ (чтение)@18;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW182;MU210_403
;Коэффициент заполнения ШИМ (чтение)@19;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW183;MU210_403
;Коэффициент заполнения ШИМ (чтение)@20;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW184;MU210_403
;Коэффициент заполнения ШИМ (чтение)@21;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW185;MU210_403
;Коэффициент заполнения ШИМ (чтение)@22;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW186;MU210_403
;Коэффициент заполнения ШИМ (чтение)@23;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW187;MU210_403
;Коэффициент заполнения ШИМ (запись);;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW34;MU210_403
;Коэффициент заполнения ШИМ (запись)@1;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW35;MU210_403
;Коэффициент заполнения ШИМ (запись)@2;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW36;MU210_403
;Коэффициент заполнения ШИМ (запись)@3;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW37;MU210_403
;Коэффициент заполнения ШИМ (запись)@4;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW38;MU210_403
;Коэффициент заполнения ШИМ (запись)@5;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW39;MU210_403
;Коэффициент заполнения ШИМ (запись)@6;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW40;MU210_403
;Коэффициент заполнения ШИМ (запись)@7;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW41;MU210_403
;Коэффициент заполнения ШИМ (запись)@8;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW42;MU210_403
;Коэффициент заполнения ШИМ (запись)@9;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW43;MU210_403
;Коэффициент заполнения ШИМ (запись)@10;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW44;MU210_403
;Коэффициент заполнения ШИМ (запись)@11;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW45;MU210_403
;Коэффициент заполнения ШИМ (запись)@12;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW46;MU210_403
