//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;;;Канал для того, чтобы в мастере срабатывал IoDrvWriteOutputs, без этого не сработает опрос по команде \ восстановлению связи;%QX116.0;MU210_502
;Исключить модуль из опроса;;FALSE - включен, TRUE - выключен;%QX118.0;MU210_502
;Флаг ошибки;;Признак ошибки опроса модуля;%IX376.0;MU210_502
;Битовая маска диагностики выходов;;;%IB377;MU210_502
;Выход 1;;TRUE - неисправность выхода;%IX377.0;MU210_502
;Выход 2;;TRUE - неисправность выхода;%IX377.1;MU210_502
;Выход 3;;TRUE - неисправность выхода;%IX377.2;MU210_502
;Выход 4;;TRUE - неисправность выхода;%IX377.3;MU210_502
;Выход 5;;TRUE - неисправность выхода;%IX377.4;MU210_502
;Выход 6;;TRUE - неисправность выхода;%IX377.5;MU210_502
;Значение выхода (чтение);;Значение 0...1000 соответствует значению выхода 0...100%;%IW189;MU210_502
;Значение выхода (чтение)@1;;Значение 0...1000 соответствует значению выхода 0...100%;%IW190;MU210_502
;Значение выхода (чтение)@2;;Значение 0...1000 соответствует значению выхода 0...100%;%IW191;MU210_502
;Значение выхода (чтение)@3;;Значение 0...1000 соответствует значению выхода 0...100%;%IW192;MU210_502
;Значение выхода (чтение)@4;;Значение 0...1000 соответствует значению выхода 0...100%;%IW193;MU210_502
;Значение выхода (чтение)@5;;Значение 0...1000 соответствует значению выхода 0...100%;%IW194;MU210_502
Application.VFD1_SpeedCmd;Значение выхода (запись);; УПП1 (Н1) | А5 → УПП1 / UZ1  Значение 0...1000 соответствует значению выхода 0...100%;%QW60;MU210_502
Application.VFD2_SpeedCmd;Значение выхода (запись)@1;;УПП2 (Н3) | А5 → УПП2 / UZ1 Значение 0...1000 соответствует значению выхода 0...100%;%QW61;MU210_502
;Значение выхода (запись)@2;;Значение 0...1000 соответствует значению выхода 0...100%;%QW62;MU210_502
;Значение выхода (запись)@3;;Значение 0...1000 соответствует значению выхода 0...100%;%QW63;MU210_502
;Значение выхода (запись)@4;;Значение 0...1000 соответствует значению выхода 0...100%;%QW64;MU210_502
;Значение выхода (запись)@5;;Значение 0...1000 соответствует значению выхода 0...100%;%QW65;MU210_502
;Код статуса;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB390;MU210_502
;Код статуса@1;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB391;MU210_502
;Код статуса@2;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB392;MU210_502
;Код статуса@3;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB393;MU210_502
;Код статуса@4;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB394;MU210_502
;Код статуса@5;;См. перечисление ANALOG_OUTPUT_ERRORS в библиотеке Mx210 Assistant;%IB395;MU210_502
;Температура модуля;;;%ID99;MU210_502
;Перегрев модуля;;;%IX400.0;MU210_502
